1,Pune,35.6895,139.6917
2,Lonawala,-33.8688,151.2093
3,Khandala,48.8566,2.3522
4,Mulshi,30.0444,31.2357
5,Wai,55.7558,37.6173
6,Baramati,43.6510,-79.3470
7,Saswad,-33.9249,18.4241
8,Alandi,19.0760,72.8777
9,Bhor,-34.6037,-58.3816
10,pirangut,52.5200,13.4050
11,Shirur,51.5074,-0.1278
12,Talegaon Dabhade,34.0522,-118.2437
13,Rajgurunagar (Khed),37.5665,126.9780
14,Jejuri,39.9042,116.4074
15,Lavasa,41.9028,12.4964
16,narayangaon,28.6139,77.2090
17,Mexico City,19.4326,-99.1332
18,Chakan,-6.2088,106.8456
19,Indapur,13.7563,100.5018
20,junnar,40.7128,-74.0060
